=LDR  00000cam a2200000 c 4500
=001  ocn123456789
=003  OCoLC
=005  20230315080000.0
=008  230315s2022    ch a     b    000 0 chi d
=040  \$aCN$bchi$cCN$dOCLCF$dOCLCO$dOCLCQ$dOCLCO$dOCLCQ$dCUV$dOCLCL
=020  \$a978-7-5228-0936-6
=041  0\$achi
=050  $aPL2874$b.Z53 2022
=100  1\$aZhang, Ailing,$d1920-1995,$eauthor.
=245  10$aZhang Ailing quan ji /$cZhang Ailing zhu.
=264  $aBeijing :$bZhongguo she hui ke xue chu ban she,$c2022.
=300  \$a38 volumes :$billustrations ;$c23.5 cm
=336  \$atext$btxt$2rdacontent
=337  \$aunmediated$bn$2rdamedia
=338  \$avolume$bnc$2rdacarrier
=500  \$a"Ben shu shi Zhang Ailing zuo pin de quan ji, bao kuo qi xiao shuo, san wen, yi wen, ju ben deng."--Title verso page.
=505  0\$aDi yi juan. Xiao shuo ji -- Di er juan. San wen ji -- Di san juan. Yi wen ji -- Di si juan. Ju ben ji -- [and subsequent volumes].
=650  $aChinese literature.
=650  $aShort stories, Chinese.
=650  $aEssays, Chinese.
=650  $aTranslations, Chinese.
=650  $aDrama, Chinese.
=700  1\$aZhang, Ailing,$d1920-1995,$eauthor.
=830  $aZhang Ailing quan ji ;$vvolumes 1-38.
